collection_date,sticker,companyName,date,currentAssets_cash_and_cash_equivalents,currentAssets_cash_and_due_from_banks,currentAssets_short_term_investments,currentAssets_total_cash,currentAssets_inventories,currentAssets_deposits,currentAssets_derivative_assets,currentAssets_accumulated_other_comprehensive_income,currentAssets_trading_assets,currentAssets_other_current_assets,currentAssets_total_current_assets,nonCurrentAssets_land,nonCurrentAssets_fixtures_and_equipment,nonCurrentAssets_other_properties,nonCurrentAssets_property_and_equipment,nonCurrentAssets_property_and_equipment_at_cost,nonCurrentAssets_property_and_equipment_net,nonCurrentAssets_real_estate_properties,nonCurrentAssets_real_estate_properties_net,nonCurrentAssets_accumulated_depreciation,nonCurrentAssets_goodwill,nonCurrentAssets_intangible_assets,nonCurrentAssets_other_intangible_assets,nonCurrentAssets_deferred_revenues,nonCurrentAssets_receivables,nonCurrentAssets_premiums_and_other_receivables,nonCurrentAssets_unearned_premiums,nonCurrentAssets_prepaid_expenses,nonCurrentAssets_general_partner,nonCurrentAssets_minority_interest,nonCurrentAssets_net_loans,nonCurrentAssets_investments,nonCurrentAssets_equity_and_other_investments,nonCurrentAssets_other_long_term_assets,nonCurrentAssets_total_non_current_assets,other_assets,total_assets,currentLiabilities_accounts_payable,currentLiabilities_payables_and_accrued_expenses,currentLiabilities_short_term_debt,currentLiabilities_short_term_borrowing,currentLiabilities_capital_leases,currentLiabilities_taxes_payable,currentAssets_derivative_liabilities,currentLiabilities_other_current_liabilities,currentLiabilities_total_current_liabilities,nonCurrentLiabilities_accrued_liabilities,nonCurrentLiabilities_debt_securities,nonCurrentLiabilities_long_term_debt,nonCurrentLiabilities_capital_leases,nonCurrentLiabilities_deferred_taxes_liabilities,nonCurrentAssets_deferred_income_taxes,nonCurrentLiabilities_pensions_and_other_benefits,nonCurrentLiabilities_other_long_term_liabilities,nonCurrentLiabilities_total_non_current_liabilities,other_liabilities,total_liabilities,stockholdersEquity_additional_paid_in_capital,stockholdersEquity_retained_earnings,stockholdersEquity_treasurey_stock,stockholdersEquity_preferred_stock,stockholdersEquity_common_stock,total_stockholders_equity,total_liabilities_and_stockholders_equity
20180209,AAAK,TRIA ALFA SA (CR),2012-12-01 00:00:00,0.0,,,0.0,1.0,,,3.0,,0.0,2.0,,,,,6.0,1.0,,,-5.0,,,,,1.0,,,,,,,,,0.0,1.0,,3.0,,,2.0,,,,,0.0,2.0,,,,,,,,0.0,0.0,,2.0,,-2.0,,,,0.0,3.0
20180209,AAAK,TRIA ALFA SA (CR),2013-12-01 00:00:00,0.0,,,0.0,1.0,,,4.0,,0.0,2.0,,,,,5.0,1.0,,,-4.0,,,,,1.0,,,,,,,,,0.0,1.0,,2.0,,,1.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,1.0,,-3.0,,,,1.0,2.0
20180209,AAAK,TRIA ALFA SA (CR),2014-12-01 00:00:00,0.0,,,0.0,1.0,,,2.0,,0.0,1.0,,,,,5.0,1.0,,,-4.0,,,,,0.0,,,,,,,,,0.0,1.0,,2.0,,,1.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,1.0,,-1.0,,,,1.0,2.0
20180209,AAAK,TRIA ALFA SA (CR),2015-12-01 00:00:00,0.0,,,0.0,1.0,,,1.0,,0.0,1.0,,,,,5.0,1.0,,,-4.0,,,,,0.0,,,,,,,,,0.0,1.0,,2.0,,,1.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,1.0,,-1.0,,,,1.0,2.0
20180209,AAAK,TRIA ALFA SA (CR),2016-12-01 00:00:00,0.0,,,0.0,1.0,,,0.0,,0.0,2.0,,,,,5.0,1.0,,,-4.0,,,,,0.0,,,,,,,,,0.0,1.0,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,0.0,0.0,,2.0,,-1.0,,0.0,1.0,1.0,2.0
20180209,AAAP,TRIA ALFA SA (PR),2012-12-01 00:00:00,0.0,,,0.0,1.0,,,3.0,,0.0,2.0,,,,,6.0,1.0,,,-5.0,,,,,1.0,,,,,,,,,0.0,1.0,,3.0,,,2.0,,,,,0.0,2.0,,,,,,,,0.0,0.0,,2.0,,-2.0,,,,0.0,3.0
20180209,AAAP,TRIA ALFA SA (PR),2013-12-01 00:00:00,0.0,,,0.0,1.0,,,4.0,,0.0,2.0,,,,,5.0,1.0,,,-4.0,,,,,1.0,,,,,,,,,0.0,1.0,,2.0,,,1.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,1.0,,-3.0,,,,1.0,2.0
20180209,AAAP,TRIA ALFA SA (PR),2014-12-01 00:00:00,0.0,,,0.0,1.0,,,2.0,,0.0,1.0,,,,,5.0,1.0,,,-4.0,,,,,0.0,,,,,,,,,0.0,1.0,,2.0,,,1.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,1.0,,-1.0,,,,1.0,2.0
20180209,AAAP,TRIA ALFA SA (PR),2015-12-01 00:00:00,0.0,,,0.0,1.0,,,1.0,,0.0,1.0,,,,,5.0,1.0,,,-4.0,,,,,0.0,,,,,,,,,0.0,1.0,,2.0,,,1.0,,,,,0.0,1.0,,,,,,,,0.0,0.0,,1.0,,-1.0,,,,1.0,2.0
20180209,AAAP,TRIA ALFA SA (PR),2016-12-01 00:00:00,0.0,,,0.0,1.0,,,0.0,,0.0,2.0,,,,,5.0,1.0,,,-4.0,,,,,0.0,,,,,,,,,0.0,1.0,,2.0,,,2.0,,,,,0.0,2.0,,,,,,,,0.0,0.0,,2.0,,-1.0,,0.0,1.0,1.0,2.0
