collection_date,sticker,companyName,date,operating_net_income,operating_inventory,operating_other_working_capital,operating_change_in_working_capital,operating_other_non_cash_items,operating_loss_from_discontinued_operations,operating_loss_from_disposision_of_businesses,operating_depreciation_and_amortisation,operating_amortisation_of_debt_discount_premium_and_issuance_cost,operating_payables,operating_receivable,operating_accounts_payable,operating_accounts_receivable,operating_accrued_liabilities,operating_cummulative_effect_of_accounting_change,operating_prepaid_expenses,operating_cash_paid_for_income_tax,operating_deferred_income_taxes,operating_deferred_tax_expense,operating_excess_tax_benefit_from_stock_based_compensation,operating_income_taxes_payable,operating_interest_payable,operating_effect_of_exchange_rate_changes,operating_other_assets_and_liabilities,operating_other_operating_activities,operating_net_cash_provided_by_operating_activities,investing_investments_in_property_plant_and_equipment,investing_property_and_equipments_net,investing_property_plant_and_equipment_reductions,investing_acquisitions_and_despositions,investing_acquisitions_net,investing_purchases_of_intangibles,investing_sale_of_intangibles,investing_purchases_of_investments,investing_common_stock_repurchased,investing_investment_asset_impairment_charges,investing_investment_losses_gains,investing_sale_maturities_of_investments,investing_other_investing_charges,investing_sale_maturities_of_fixed_maturity_and_equity_securities,investing_other_investing_activities,investing_net_cash_used_for_investing_activities,financing_change_in_short_term_borrowing,financing_loans,financing_debt_issued,financing_debt_repayment,financing_long_term_debt_issued,financing_long_term_debt_repayment,financing_redemption_of_prefered_stock,financing_repurchases_of_treasury_stock,financing_cash_dividends_paid,financing_cash_paid_for_interest,financing_cash_paid_for_interest,financing_preferred_stock_issued,financing_common_stock_issued,financing_warrant_issued,financing_stock_based_compensation,financing_other_financing_activities,financing_net_cash_used_for_financing_activities,net_change_in_cash,cash_at_beginning_of_period,cash_at_end_of_period,operating_cash_flow,capital_expenditure,free_cash_flow
20180209,AAAK,TRIA ALFA SA (CR),2012-12-01 00:00:00,-0.0,-0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,-0.0,,,,,,0.0,0.0,,,1.0,-2.0,,,,,-0.0,,,,,,,-0.0,-1.0,-0.0,0.0,0.0,1.0,,1.0
20180209,AAAK,TRIA ALFA SA (CR),2013-12-01 00:00:00,-0.0,0.0,-0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,-1.0,,,,,,,,,1.0,,,-0.0,0.0,-0.0,0.0,0.0,-0.0,,-0.0
20180209,AAAK,TRIA ALFA SA (CR),2014-12-01 00:00:00,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,,0.0,,,,,,,,,,,,-0.0,0.0,,,0.0,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
20180209,AAAK,TRIA ALFA SA (CR),2015-12-01 00:00:00,-0.0,-0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,,0.0,,,,,,,,,,,,-0.0,0.0,,,1.0,-1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
20180209,AAAK,TRIA ALFA SA (CR),2016-12-01 00:00:00,-0.0,-0.0,-0.0,-0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,,0.0,,,,,,,,,,,,-0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
20180209,AAAK,TRIA ALFA SA (CR),2017-12-01 00:00:00,-0.0,-0.0,-0.0,-0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,,,0.0,,,,,,,,,,,,-0.0,0.0,,,0.0,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,,-0.0
20180209,AAAP,TRIA ALFA SA (PR),2012-12-01 00:00:00,-0.0,-0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,-0.0,,,,,,0.0,0.0,,,1.0,-2.0,,,,,-0.0,,,,,,,-0.0,-1.0,-0.0,0.0,0.0,1.0,,1.0
20180209,AAAP,TRIA ALFA SA (PR),2013-12-01 00:00:00,-0.0,0.0,-0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,,,0.0,,,,,,,,,,,,,0.0,,,0.0,-1.0,,,,,,,,,1.0,,,-0.0,0.0,-0.0,0.0,0.0,-0.0,,-0.0
20180209,AAAP,TRIA ALFA SA (PR),2014-12-01 00:00:00,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,,0.0,,,,,,,,,,,,-0.0,0.0,,,0.0,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
20180209,AAAP,TRIA ALFA SA (PR),2015-12-01 00:00:00,-0.0,-0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,,0.0,,,,,,,,,,,,-0.0,0.0,,,1.0,-1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
20180209,AAAP,TRIA ALFA SA (PR),2016-12-01 00:00:00,-0.0,-0.0,-0.0,-0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,,0.0,,,,,,,,,,,,-0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
20180209,AAAP,TRIA ALFA SA (PR),2017-12-01 00:00:00,-0.0,-0.0,-0.0,-0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,-0.0,,,0.0,,,,,,,,,,,,-0.0,0.0,,,0.0,-0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,,-0.0
20180209,AEGEK,AEGEK (CR),2012-12-01 00:00:00,,,6.0,,-3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,-4.0,,,-0.0,,,,,,,0.0,-4.0,,,,,,,,,,,,,,,,,,-0.0,0.0,0.0,3.0,,3.0
