collection_date,sticker,companyName,date,revenue,cost_of_revenue,gross_profit,operating_expences_sales_general_administrative,other_operating_expenses,total_operating_expenses,operating_income,interest_expense,other_income_expense,income_before_income_taxes,provision_for_income_taxes,minority_interest,other_income,net_income_from_continuing_operations,net_income_from_discontinuing_operations,net_income_from_discontinuing_operations2,net_income_from_discontinuing_operations3,other,net_income,net_income_available_to_common_shareholders,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_shares_outstanding_basic,weighted_average_shares_outstanding_diluted,ebitda,commision_and_fees,compensation_and_benefits,cummulative_effect_of_accounting_changes,depreciation_and_amortisation,extraordinary_items,income_from_cont_operations_before_taxes,income_tax_expense_benefit,interest_income,investment_income_net,merger_acquisition_and_restructuring,net_interest_income,nonrecurring_expense,operating_expenses,policyholder_benefits_and_claims_incurred,other_distributions,other_expense,other_expenses,other_special_charges,policyholder_benefits_and_claims_incurred,preferred_distributions,preferred_dividend,premiums,provision_benefit_for_taxes,realised_capital_gains_net,research_and_development,restructuring_merger_and_acquisition,securities_gains,tech_communication_and_equipment,total_benefits_claims_expenses,total_costs_and_expenses,total_expenses,total_interest_expense,total_interest_income,total_net_revenue,total_noninterest_expenses,total_noninterest_revenue,total_nonoperating_income_net,total_revenues
20180209,AAAK,TRIA ALFA SA (CR),2012-12-01 00:00:00,0.0,0.0,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.8,-0.8,1.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAK,TRIA ALFA SA (CR),2013-12-01 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.32,-0.32,1.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAK,TRIA ALFA SA (CR),2014-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.32,-0.32,1.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAK,TRIA ALFA SA (CR),2015-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.24,-0.24,1.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAK,TRIA ALFA SA (CR),2016-12-01 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.13,-0.13,1.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAK,TRIA ALFA SA (CR),2017-12-01 00:00:00,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.08,-0.08,1.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAP,TRIA ALFA SA (PR),2012-12-01 00:00:00,0.0,0.0,-0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-2.26,-2.26,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAP,TRIA ALFA SA (PR),2013-12-01 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.91,-0.91,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAP,TRIA ALFA SA (PR),2014-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.9,-0.9,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAP,TRIA ALFA SA (PR),2015-12-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.68,-0.68,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAP,TRIA ALFA SA (PR),2016-12-01 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.36,-0.36,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AAAP,TRIA ALFA SA (PR),2017-12-01 00:00:00,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,,,,-0.0,,,,,-0.0,-0.0,-0.23,-0.23,0.0,1.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180209,AEGEK,AEGEK (CR),2012-12-01 00:00:00,1.0,,,1.0,,,-7.0,,0.0,-7.0,0.0,,,-7.0,,,,,-7.0,-7.0,-0.21,-0.21,33.0,33.0,-7.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,
20180209,AEGEK,AEGEK (CR),2013-12-01 00:00:00,44.0,,,3.0,,,-37.0,,1.0,-36.0,1.0,,,-37.0,,,,19.0,-17.0,-17.0,-0.52,-0.52,33.0,33.0,-36.0,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,81.0,,,,,,,
20180209,AEGEK,AEGEK (CR),2014-12-01 00:00:00,83.0,,,4.0,,,-32.0,,3.0,-29.0,3.0,,-0.0,-32.0,,,,24.0,-8.0,-8.0,-0.24,-0.24,33.0,33.0,-29.0,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,115.0,,,,,,,
20180209,AEGEK,AEGEK (CR),2015-12-01 00:00:00,13.0,,,3.0,,,-39.0,4.0,8.0,-35.0,-3.0,,0.0,-32.0,,,,24.0,-8.0,-8.0,-0.23,-0.23,33.0,33.0,-28.0,,,,,,,,1.0,,,,,49.0,,,,,,,,,,,,,,,,,,52.0,,,,,,,
20180209,AEGEK,AEGEK (CR),2016-12-01 00:00:00,30.0,,,2.0,,,-13.0,3.0,0.0,-16.0,5.0,,-0.0,-21.0,,,,16.0,-4.0,-4.0,-0.13,-0.13,33.0,33.0,-10.0,,,,,,,,1.0,,,,,41.0,,,,,,,,,,,,,,,,,,43.0,,,,,,,
20180209,AEGEK,AEGEK (CR),2017-12-01 00:00:00,38.0,,,1.0,,,-6.0,3.0,0.0,-9.0,5.0,,,-14.0,,,,11.0,-2.0,-2.0,-0.07,-0.07,33.0,33.0,-4.0,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,44.0,,,,,,,
20180209,ALCO,ALCO HELLAS SA (CR),2008-12-01 00:00:00,320.0,267.0,53.0,39.0,-5.0,,,,,14.0,4.0,,-2.0,8.0,,,,,8.0,8.0,0.59,0.59,3.0,3.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,
20180209,ALCO,ALCO HELLAS SA (CR),2009-12-01 00:00:00,235.0,197.0,38.0,35.0,-1.0,,,,,1.0,1.0,,-4.0,-4.0,,,,4.0,-1.0,-4.0,-1.36,-1.36,3.0,3.0,21.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,37.0,,,,,,,,
20180209,ALCO,ALCO HELLAS SA (CR),2010-12-01 00:00:00,259.0,213.0,46.0,35.0,1.0,,,,,7.0,,,-8.0,-1.0,,,,4.0,3.0,-1.0,-0.28,-0.28,3.0,3.0,25.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,39.0,,,,,,,,
20180209,ALCO,ALCO HELLAS SA (CR),2011-12-01 00:00:00,268.0,228.0,41.0,38.0,4.0,,,,,-4.0,3.0,,-2.0,-10.0,,,,2.0,-7.0,-10.0,-2.9,-2.9,3.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,45.0,,,,,,,,
20180209,ALCO,ALCO HELLAS SA (CR),2012-12-01 00:00:00,257.0,220.0,37.0,36.0,3.0,,,,,-5.0,2.0,,,-6.0,,,,-2.0,-8.0,-8.0,-2.41,-2.41,3.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,
20180209,ALCO,ALCO HELLAS SA (CR),2017-12-01 00:00:00,257.0,220.0,37.0,36.0,3.0,,,,,-5.0,2.0,,,-6.0,,,,-2.0,-8.0,-8.0,-2.41,-2.41,3.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,
20180209,ALMY,ALUMIL (CR),2012-12-01 00:00:00,198.0,159.0,40.0,45.0,5.0,,,,,-12.0,0.0,,,-12.0,,,,0.0,-11.0,-11.0,-0.52,-0.52,22.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,51.0,,,,,,,,
20180209,ALMY,ALUMIL (CR),2013-12-01 00:00:00,176.0,145.0,32.0,39.0,7.0,,,,,-15.0,1.0,,,-16.0,,,,0.0,-16.0,-16.0,-0.73,-0.73,22.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,47.0,,,,,,,,
20180209,ALMY,ALUMIL (CR),2014-12-01 00:00:00,172.0,139.0,34.0,38.0,-2.0,,,,,-11.0,-1.0,,,-10.0,,,,-0.0,-11.0,-11.0,-0.48,-0.48,22.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,45.0,,,,,,,,
20180209,ALMY,ALUMIL (CR),2015-12-01 00:00:00,191.0,154.0,37.0,45.0,-9.0,,,,,-8.0,0.0,,,-8.0,,,,-2.0,-10.0,-10.0,-0.46,-0.46,22.0,22.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,45.0,,,,,,,,
