collection_date,sticker,companyName,price_earnings_ttm,price_book,price_sales_ttm,rev_growth_3years_avg,net_income_growth_3_years_avg,operating_margin_ttm,net_margin_ttm,roa_ttm,roe_ttm,debt_equity
2018-02-02 00:00:00,AAAK,TRIA ALFA SA (CR),,12.6,5.3,1.1,,-14.6,-14.6,-4.1,-20.6,
2018-02-02 00:00:00,AAAP,TRIA ALFA SA (PR),,1.3,0.5,1.1,,-14.6,-14.6,-4.1,-20.6,
2018-02-02 00:00:00,ADMIE,ADMIE (IPTO) HOLDING S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,AEGEK,AEGEK (CR),,,,-11.8,,-15.7,-6.4,-1.6,,
2018-02-02 00:00:00,AEGN,AEGEAN AIRLINES (CR),18.4,4.3,0.6,13.4,-17.7,5.3,3.4,4.7,22.5,0.2
2018-02-02 00:00:00,AGRI,ALPHA GRISSIN S.A. (CR),,,,,,,,,,
2018-02-02 00:00:00,AIOLC,AEOLIAN INVESTMENT FUND (CR),,,,,,,,,,
2018-02-02 00:00:00,AKRIT,AKRITAS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ALCO,ALCO HELLAS SA (CR),,,,3.1,,-0.8,-3.1,-4.7,-41.7,2.3
2018-02-02 00:00:00,ALKA,NEXANS HELLAS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ALMY,ALUMIL (CR),,0.2,,4.7,,2.8,-2.3,-1.6,-10.6,0.1
2018-02-02 00:00:00,ALPHA,ALPHA BANK (CR),19.8,0.3,2.4,40.8,-75.7,12.1,8.1,0.2,1.2,
2018-02-02 00:00:00,ALTEC,ALTEC SA (CR),,,0.1,-3.6,,-13.5,-48.0,-41.2,,
2018-02-02 00:00:00,ANDRO,ANDROMEDA SA (CR),2.7,0.9,2.4,-20.2,-17.0,89.9,88.1,36.0,37.6,
2018-02-02 00:00:00,ANEK,ANEK LINES SA (CR),1.4,,0.1,-4.0,,3.0,7.5,3.4,,
2018-02-02 00:00:00,ANEMOS,ELTECH ANEMOS S.A. (CR),16.4,1.1,3.1,7.0,61.6,46.6,19.1,2.5,7.0,1.2
2018-02-02 00:00:00,ANEP,"ANEK LINES SA (PR, issue '90)",1.2,,0.1,-4.0,,3.0,7.5,3.4,,
2018-02-02 00:00:00,ANEPO,"ANEK LINES SA (PR, issue '96)",1.2,,0.1,-4.0,,3.0,7.5,3.4,,
2018-02-02 00:00:00,ASCO,AS COMPANY SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ASTAK,ALPHA REAL ESTATE SA(CR),59.1,0.7,7.6,-3.8,,20.5,12.0,1.0,1.1,
2018-02-02 00:00:00,ATEK,ATTICA PUBLICATIONS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ATHINA,ATHENA SA (CR),,,,,,,,,,
2018-02-02 00:00:00,ATTICA,ATTICA HOLDINGS (CR),,0.8,1.5,1.1,,11.5,0.1,,0.1,0.6
2018-02-02 00:00:00,ATTIK,ATTI - KAT SA (CR),,,,,,,,,,
2018-02-02 00:00:00,AVAX,J & P - AVAX SA (CR),,,,,,,,,,
2018-02-02 00:00:00,AVE,AUDIO VISUAL ENTERPRISES (CR),,,,,,,,,,
2018-02-02 00:00:00,AXON,AXON HOLDING SA (CR),,,,-16.4,,-13.5,-26.6,-6.4,,
2018-02-02 00:00:00,BALK,BALKAN R.E. (CR),,,,,,,,,,
2018-02-02 00:00:00,BELA,JUMBO SA (CR),16.9,2.3,3.3,7.9,9.0,25.2,19.2,10.6,14.0,0.2
2018-02-02 00:00:00,BIOKA,BIOKARPET S.A.(CR),,,,,,,,,,
2018-02-02 00:00:00,BIOSK,UNIBIOS (CR),,0.3,0.5,-21.6,,-15.0,-43.0,-9.8,-21.8,0.4
2018-02-02 00:00:00,BIOT,BIOTER SA (CR),,,,,,,,,,
2018-02-02 00:00:00,BRIQ,BRIQ PROPERTIES (CR),,,,,,,,,,
2018-02-02 00:00:00,BYTE,BYTE COMPUTER SA (CR),,,,,,,,,,
2018-02-02 00:00:00,CENER,CENERGY HOLDINGS (CB),,1.4,0.4,,,3.5,-1.7,-1.2,-5.4,0.8
2018-02-02 00:00:00,CENTR,CENTRIC HOLDINGS (CR),,,,,,,,,,
2018-02-02 00:00:00,COMP,COMPUCON SA (CR),,,,,,,,,,
2018-02-02 00:00:00,CPI,CPI SA (CR),,,,,,,,,,
2018-02-02 00:00:00,CRETA,KRETA FARM SA (CR),,1.8,0.2,0.9,,-2.1,-2.2,-1.4,-16.6,4.7
2018-02-02 00:00:00,DAIOS,DAIOS PLASTICS SA (CR),26.4,3.3,1.0,5.7,,18.3,3.6,1.0,13.2,7.5
2018-02-02 00:00:00,DION,DIONIC (CR),,,,,,,,,,
2018-02-02 00:00:00,DOMIK,DOMIKI KRITIS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,DROME,DROMEAS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,DROUK,DRUCKFARBEN HELLAS (CR),,,,,,,,,,
2018-02-02 00:00:00,DUR,DUROS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,EDRA,EDRASIS - C. PSALLIDAS SA (CR),,,,,,,,,,
2018-02-02 00:00:00,EEE,CC HBC AG (CR),25.4,3.6,1.6,-3.3,15.8,8.6,6.2,5.8,14.8,0.5
